temperature	I(R3)
2.500000000000000e+001	2.637726e-004
3.000000000000000e+001	2.681961e-004
3.500000000000000e+001	2.726196e-004
4.000000000000000e+001	2.770431e-004
4.500000000000000e+001	2.814666e-004
5.000000000000000e+001	2.858901e-004
5.500000000000000e+001	2.903136e-004
6.000000000000000e+001	2.947371e-004
6.500000000000000e+001	2.991606e-004
7.000000000000000e+001	3.035842e-004
7.500000000000000e+001	3.080080e-004
8.000000000000000e+001	3.124315e-004
8.500000000000000e+001	3.168552e-004
9.000000000000000e+001	3.212792e-004
9.500000000000000e+001	3.257035e-004
1.000000000000000e+002	3.301283e-004
